rank	target_id	compound_id	predicted_affinity	smiles	mol_weight	logp	h_bond_donors	h_bond_acceptors	tpsa	rotatable_bonds	aromatic_rings	heavy_atoms	ring_count	formal_charge	qed	fraction_csp3
1	rs104886003	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
2	rs113488022	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
3	rs121913279	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
4	rs121913530	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
5	rs28934571	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
6	rs112445441	COCONUT_004_phenolic_like	3.956854820251465	Oc1ccc(O)cc1	110.11199999999998	1.0978	2	2	40.46	0	1	8	1	0	0.4907276689015206	0.0
7	rs104886003	COCONUT_005_caffeine_like	4.344913959503174	Cn1c(=O)c2c(ncn2C)n(C)c1=O	194.194	-1.0293	0	6	61.82	0	2	14	2	0	0.5384628262372215	0.375
8	rs112445441	COCONUT_005_caffeine_like	4.344913959503174	Cn1c(=O)c2c(ncn2C)n(C)c1=O	194.194	-1.0293	0	6	61.82	0	2	14	2	0	0.5384628262372215	0.375
9	rs113488022	COCONUT_005_caffeine_like	4.344913959503174	Cn1c(=O)c2c(ncn2C)n(C)c1=O	194.194	-1.0293	0	6	61.82	0	2	14	2	0	0.5384628262372215	0.375
10	rs121913279	COCONUT_005_caffeine_like	4.344913959503174	Cn1c(=O)c2c(ncn2C)n(C)c1=O	194.194	-1.0293	0	6	61.82	0	2	14	2	0	0.5384628262372215	0.375
